State,2014,2015,2016,2017,2018,2019,2020
Louisiana,0.024709757211568473,0.027212353637177472,0.029756399121107474,0.03226584316018686,0.03220100976535283,0.03185721783875396,0.03356067334895049
Maine,0.024113273793829257,0.02294789398524413,0.022591695262799208,0.022085086727012607,0.021415944655826368,0.02273791212465726,0.025626953036756904
Maryland,0.019529991624251015,0.01948725964043251,0.02037618024529325,0.021847368345966765,0.02174721494142899,0.02186639237886861,0.02320089064999153
Massachusetts,0.023222935449995746,0.02340571893953704,0.023918749487350746,0.023326087336600833,0.02323649523942304,0.022074341217972807,0.022310633062037198
Michigan,0.021637060609846947,0.024258937279373272,0.025376434695312505,0.023434480480220416,0.0263535058473343,0.026039593201462825,0.027702651518001956
Minnesota,0.019678450812584306,0.022082413536683613,0.02238768152663356,0.02149289235257034,0.02066409664022114,0.01992889073914731,0.0208755277655125
Mississippi,0.023262871788152784,0.025115116524442427,0.025212374126219027,0.024944209900510723,0.023836032235970684,0.02353749395193852,0.024572045304245067
Missouri,0.015299226126523114,0.01771073594856381,0.01927312413730607,0.019357323760812204,0.01842968625785302,0.016692519715494323,0.017946702195935072
Montana,0.011245217115807157,0.012700013087799748,0.02005494479132782,0.022868269280038562,0.024203771267769052,0.023642142071518883,0.022950701338266502
Nebraska,0.011542829482620596,0.011521839435239599,0.011906741366170063,0.012102255714403458,0.012204546115526675,0.011952989049302717,0.012696433437657414
Nevada,0.015466834105788179,0.017360802445572317,0.01900974634833048,0.01897650043050412,0.018411436207508104,0.017697849500982115,0.019150745684151628
New Hampshire,0.011017367718513,0.013757215061159792,0.015107606344896978,0.014958586191447687,0.014242869709474977,0.013742088194811368,0.014638341475910779
New Jersey,0.017028903010473228,0.019097411680671434,0.01945099071581449,0.019576633914808114,0.01914138193579877,0.018332613900080282,0.018801286278179553
New Mexico,0.03420666374514648,0.040237867517419264,0.04415654546714423,0.04529721278795744,0.04274618699235918,0.04195969392760834,0.04358314196472614
New York,0.027394707824806772,0.030136354796261405,0.02987819910491699,0.030055350533731276,0.03004487595180908,0.029974622274288754,0.03152024929078146
North Carolina,0.01689594602957847,0.017833626807746927,0.018667948853953266,0.019200530024159775,0.01934299636293928,0.019149856818872636,0.01970601716489371
North Dakota,0.010423209373849385,0.011117920101861325,0.012299732580007777,0.01228931424305092,0.012104275703824162,0.011653424535565204,0.012805285185461037
Ohio,0.02246141044389244,0.025537081037641813,0.026013611613685837,0.026076432922276627,0.024766944168304956,0.023776329121164123,0.02500595003068873
Oklahoma,0.019308169469530602,0.01853974332812175,0.017514637323539393,0.017693706684102764,0.016913960432997387,0.016613325604013053,0.01851394562326055
Oregon,0.024763916905206396,0.02709938082020792,0.026555778984582258,0.024739022601243128,0.02354466482675668,0.0235287643888356,0.025226882803682748
Pennsylvania,0.01711173328647215,0.02093067949726963,0.023474273853599976,0.0238458502944857,0.023655044805231153,0.02405678683053826,0.025181381829696883
Rhode Island,0.019971396417074693,0.021667426761259018,0.022877324600875767,0.024986891346774513,0.024732427232856746,0.023909472876451343,0.024311221473335698
South Carolina,0.019453648729670522,0.020710758932893467,0.021599703890626515,0.021881394091466614,0.021525218875731535,0.0216181547518643,0.021789790802676866
South Dakota,0.012946202643379196,0.013221585584025516,0.013199134414658913,0.01247522123488667,0.012622443386635674,0.012286854080644597,0.012770004379887467
Tennessee,0.02097907333614786,0.023440743286865268,0.025498862849945955,0.024066428107205214,0.022778976067321908,0.022824682573669628,0.023203695631403343
Texas,0.01562135381209247,0.016149389277497223,0.016368093159061323,0.016248969991330114,0.0156788414314363,0.015120678747708352,0.016007760562320613
Utah,0.010277957490776214,0.010624656039329326,0.010413104612939646,0.009763044781120913,0.009286395937059154,0.009052929356246193,0.010369616838042278
Vermont,0.028608279140089468,0.031159617136191496,0.03155200635524676,0.02895388493950078,0.027688771802907162,0.026280113965957638,0.027272129327645757
Virginia,0.011376441146158408,0.012250064327776823,0.012818302873331291,0.01320975737134564,0.013617799250844798,0.01566034900139564,0.018229305809176886
Washington,0.02221740152469752,0.024569966292685083,0.025589177805196494,0.02533673148893955,0.024113855662032953,0.02367998840035177,0.02409791395770933
West Virginia,0.027288904115436927,0.030434018397119997,0.03263417256273756,0.03222111824875473,0.03123004862252783,0.030524775478578906,0.03188055493456642
Wisconsin,0.018389768892054664,0.018653715377619742,0.01901242733980125,0.019005214264371333,0.018728529109866405,0.018627949375242616,0.019905171829981375
Wyoming,0.01217506717721925,0.011766932872205994,0.011277366837364992,0.011034596909623202,0.010361727921748231,0.009825621082680015,0.01047519610940913
